name,position,team
Junior Bergen,WR,FA
Justin Jefferson,WR,Vikings
Justin Watson,WR,Texans
Justyn Ross,WR,FA
Juwann Winfree,WR,FA
K.J. Osborn,WR,FA
KJ Hamler,WR,FA
KaVontae Turpin,WR,Cowboys
Kadarius Toney,WR,FA
Kaden Davis,WR,FA
Kaden Prather,WR,FA
Kalif Raymond,WR,Lions
Kameron Johnson,WR,Buccaneers
Kaylon Geiger,WR,FA
Kayshon Boutte,WR,Patriots
KeAndre Lambert-Smith,WR,Chargers
Kearis Jackson,WR,FA
Keelan Doss,WR,FA
Keenan Allen,WR,Chargers
Keith Kirkwood,WR,FA
Kendric Pryor,WR,FA
Kendrick Bourne,WR,49ers
Keon Coleman,WR,Bills
Kevin Austin Jr.,WR,FA
KhaDarel Hodge,WR,Falcons
Khalil Shakir,WR,Bills
Konata Mumpfield,WR,Rams
Kristian Wilkerson,WR,FA
Kwamie Lassiter II,WR,FA
Kyle Philips,WR,FA
Kyle Williams,WR,Patriots
Kyric McGowan,WR,FA
LaJohntay Wester,WR,Ravens
Ladd McConkey,WR,Chargers
Lance McCutcheon,WR,FA
Laquon Treadwell,WR,FA
Laviska Shenault Jr.,WR,FA
Lil'Jordan Humphrey,WR,FA
Lucky Jackson,WR,FA
Luke McCaffrey,WR,Commanders
Luther Burden III,WR,Bears
Lynn Bowden Jr.,WR,FA
Mack Hollins,WR,Patriots
Malachi Corley,WR,FA
Malik Cunningham,WR,FA
Malik Heath,WR,Packers
Malik Nabers,WR,Giants
Malik Taylor,WR,FA
Malik Washington,WR,Dolphins
Marquez Callaway,WR,FA
Marquez Valdes-Scantling,WR,49ers
Marquise Goodwin,WR,FA
Marvin Harrison Jr.,WR,Cardinals
Marvin Jones Jr.,WR,FA
Marvin Mims Jr.,WR,Broncos
Mason Kinsey,WR,FA
Mason Tipton,WR,Saints
Matthew Golden,WR,Packers
Matthew Slater,WR,Patriots
Maurice Alexander,WR,FA
Mecole Hardman,WR,FA
Michael Bandy,WR,FA
Michael Gallup,WR,FA
Michael Pittman Jr.,WR,Colts
Michael Strachan,WR,FA
Michael Thomas,WR,FA
Michael Wilson,WR,Cardinals
Michael Woods II,WR,FA
Mike Evans,WR,Buccaneers
Mike Williams,WR,Chargers
Miles Boykin,WR,FA
Mitchell Tinsley,WR,Bengals
Montrell Washington,WR,FA
Myles Price,WR,Vikings
Nelson Agholor,WR,FA
Nick Nash,WR,FA
Nick Westbrook-Ikhine,WR,Dolphins
Nico Collins,WR,Texans
Nikko Remigio,WR,Chiefs
Noah Brown,WR,Commanders
Nsimba Webster,WR,FA
Odell Beckham Jr.,WR,FA
Olamide Zaccheaus,WR,Bears
Parker Washington,WR,Jaguars
Parris Campbell,WR,FA
Pat Bryant,WR,Broncos
Phillip Dorsett,WR,FA
Puka Nacua,WR,Rams
Quentin Johnston,WR,Chargers
Quez Watkins,WR,FA
Quintez Cephus,WR,FA
Rakim Jarrett,WR,FA
Raleigh Webb,WR,FA
Ramel Keyton,WR,FA
Randall Cobb,WR,FA
Rashee Rice,WR,Chiefs
Rashid Shaheed,WR,Saints
Rashod Bateman,WR,Ravens
Ray-Ray McCloud III,WR,Falcons
Richie James,WR,FA
Ricky Pearsall,WR,49ers
Ricky White III,WR,FA
River Cracraft,WR,FA
Robbie Chosen,WR,FA
Robert Woods,WR,FA
Roman Wilson,WR,Steelers
Rome Odunze,WR,Bears
Romeo Doubs,WR,Packers
Rondale Moore,WR,Vikings
Ronnie Bell,WR,FA
Russell Gage Jr.,WR,49ers
Ryan Flournoy,WR,Cowboys
Ryan Miller,WR,Buccaneers
Samori Toure,WR,FA
Savion Williams,WR,Packers
Scotty Miller,WR,Steelers
Seth Williams,WR,FA
Shedrick Jackson,WR,FA
Simi Fehoko,WR,FA
Skyy Moore,WR,49ers
Stanley Berryhill,WR,FA
Stanley Morgan Jr.,WR,FA
Stefon Diggs,WR,Patriots
Sterling Shepard,WR,Buccaneers
Steven Sims,WR,FA
Tahj Washington,WR,Dolphins
Tai Felton,WR,Vikings
Tank Dell,WR,Texans
Tarik Black,WR,FA
Tay Martin,WR,FA
Tee Higgins,WR,Bengals
Tejhaun Palmer,WR,FA
Terrace Marshall Jr.,WR,FA
Terrell Bynum,WR,FA
Terry McLaurin,WR,Commanders
Tetairoa McMillan,WR,Panthers
Tez Johnson,WR,Buccaneers
Theo Wease Jr.,WR,FA
Tim Jones,WR,Vikings
Tim Patrick,WR,Jaguars
Tom Kennedy,WR,FA
Tommy Mellott,WR,FA
Tony Brown,WR,FA
Tory Horton,WR,Seahawks
Travis Hunter,WR,Jaguars
Tre Tucker,WR,Raiders
Tre' Harris,WR,Chargers
Tre'Quan Smith,WR,FA
Trent Sherfield Sr.,WR,Broncos
Trent Taylor,WR,49ers
Trenton Irwin,WR,FA
Trey Palmer,WR,Saints
Treylon Burks,WR,Titans
Trishton Jackson,WR,Cardinals
Troy Franklin,WR,Broncos
Tutu Atwell,WR,Rams
Tylan Wallace,WR,Ravens
Tyler Boyd,WR,FA
Tyler Johnson,WR,Jets
Tyler Lockett,WR,Titans
Tyler Scott,WR,FA
Tyquan Thornton,WR,Chiefs
Tyreek Hill,WR,Dolphins
Tyreik McAllister,WR,FA
Tyrell Shavers,WR,Bills
Van Jefferson,WR,Titans
Wan'Dale Robinson,WR,Giants
Willie Snead IV,WR,FA
Xavier Gipson,WR,Jets
Xavier Hutchinson,WR,Texans
Xavier Legette,WR,Panthers
Xavier Restrepo,WR,FA
Xavier Smith,WR,Rams
Xavier Weaver,WR,Cardinals
Xavier Worthy,WR,Chiefs
Zach Pascal,WR,FA
Zay Flowers,WR,Ravens
Zay Jones,WR,Cardinals
